r1cvap1060.1dc.com,10.180.123.201,Red Hat 6.2
n3pvap1034,10.174.101.150, SUSE 11
r1dvap1060.1dc.com,10.180.150.5,Red Hat 6.2
n3qvap046,10.115.8.120, SUSE 10
n3qvwb1008,10.174.102.76, SUSE 11
n3pvap115,10.174.37.219, SUSE 10
n3pvap177,10.174.38.42, SUSE 10
l1ppap1079,10.180.7.250,CentOS release 6.8
n3cvap949,10.174.4.142, SUSE 10
n3pvap251,10.174.5.10, SUSE 11
